Course_Original,Course_Number,Section,Title,Quarter,Year,Day and Time,Instructor,Total Enrollment after  Phase 1,Seats Available after Phase 1,Phase 1 Price,Total Enrollment after  Phase 2,Seats Available after Phase 2,Phase 2 Price,Total Enrollment after  Phase 25,Seats Available after Phase 25,Phase 25 Price,Total Enrollment after  Phase 1 New Students,Seats Available after Phase 1 New Students,Phase 1 New Students Price,Total Enrollment after  Phase 2 New Students,Seats Available after Phase 2 New Students,Phase 2 New Students Price,Total Enrollment after  Phase 3,Seats Available after Phase 3,Phase 3 Price
37212-01,37212,01,Business with Purpose,Winter,2025,"Wednesday, 01:30 pm - 04:30 pm","Sussman, Abigail",36.0,29,0.0,55.0,10,0.0,58.0,7,0.0,58.0,7,0.0,58.0,7,0.0,55.0,10,0.0
37212-81,37212,81,Business with Purpose,Winter,2025,"Wednesday, 6:00 pm - 9:00 pm","Sussman, Abigail",17.0,48,0.0,14.0,51,0.0,21.0,44,0.0,26.0,39,0.0,28.0,37,0.0,30.0,35,0.0
37601-60,37601,60,Marketing Workshop,Winter,2025,"Tuesday, 10:40 am - 12:00 pm","Hu, Beidi; Korganbekova, Malika; Strulov-Shlain, Avner",6.0,24,0.0,6.0,24,0.0,,,,,,,,,,6.0,24,0.0
37904-50,37904,50,Advanced Quantitative Marketing,Winter,2025,"Monday, 1:30 pm - 4:30 pm","Dubé, Jean-Pierre; Hitsch, Guenter",3.0,9,0.0,3.0,9,0.0,,,,,,,,,,3.0,9,0.0
37905-50,37905,50,Marketing Literature Seminar,Winter,2025,"Wednesday, 9:30 am - 12:30 pm","Chintagunta, Pradeep; Donnelly, Kristin",9.0,11,0.0,10.0,10,0.0,,,,,,,,,,10.0,10,0.0
37906-50,37906,50,Applied Bayesian Econometrics,Winter,2025,"Thursday, 01:30 pm - 04:30 pm","Misra, Sanjog",4.0,16,0.0,4.0,16,0.0,,,,,,,,,,4.0,16,0.0
37907-50,37907,50,Behavioral Science Research Methods in Marketing,Winter,2025,"Friday, 9:00 am - 12:00 pm","Urminsky, Oleg",6.0,19,0.0,7.0,18,0.0,,,,,,,,,,7.0,18,0.0
38001-85,38001,85,Managing in Organizations,Winter,2025,"Saturday, 9:00 am - 12:00 pm","Todorov, Alexander",10.0,55,0.0,10.0,55,0.0,15.0,50,0.0,17.0,48,0.0,17.0,48,0.0,20.0,45,0.0
38002-01,38002,01,Managerial Decision Making,Winter,2025,"Monday, 01:30 pm - 04:30 pm","Bhargava, Saurabh",51.0,14,0.0,65.0,CLO,1100.0,65.0,CLO,4391.0,,,,,,,65.0,CLO,2500.0
38002-02,38002,02,Managerial Decision Making,Winter,2025,"Monday, 05:00 pm - 08:00 pm","Bhargava, Saurabh",14.0,51,0.0,20.0,45,0.0,24.0,41,0.0,,,,,,,27.0,38,0.0
38101-81,38101,81,Persuasion: Effective Business Communication,Winter,2025,"Wednesday, 6:00 pm - 9:00 pm","Weitzman, Hal",31.0,5,0.0,36.0,CLO,1000.0,36.0,CLO,2345.0,36.0,CLO,0.0,36.0,CLO,0.0,36.0,CLO,54.0
38103-01,38103,01,Strategies and Processes of Negotiation,Winter,2025,"Wednesday, 01:30 pm - 04:30 pm","Jackson, Joshua",55.0,CLO,3603.0,55.0,CLO,5839.0,55.0,CLO,1909.0,,,,,,,55.0,CLO,3187.0
38103-02,38103,02,Strategies and Processes of Negotiation,Winter,2025,"Wednesday, 05:00 pm - 08:00 pm","Jackson, Joshua",55.0,CLO,0.0,55.0,CLO,2789.0,55.0,CLO,2000.0,,,,,,,55.0,CLO,2807.0
38103-03,38103,03,Strategies and Processes of Negotiation,Winter,2025,"Tuesday, 08:30 am - 11:30 am","Koch, Alex",55.0,CLO,4000.0,55.0,CLO,6100.0,55.0,CLO,5400.0,,,,,,,55.0,CLO,0.0
38103-04,38103,04,Strategies and Processes of Negotiation,Winter,2025,"Tuesday, 01:30 pm - 04:30 pm","Koch, Alex",55.0,CLO,3673.0,55.0,CLO,6897.0,55.0,CLO,4938.0,,,,,,,55.0,CLO,0.0
38103-81,38103,81,Strategies and Processes of Negotiation,Winter,2025,"Monday, 6:00 pm - 9:00 pm","Koch, Alex",41.0,14,0.0,55.0,CLO,1.0,55.0,CLO,0.0,55.0,CLO,0.0,55.0,CLO,0.0,55.0,CLO,1798.0
38103-85,38103,85,Strategies and Processes of Negotiation,Winter,2025,"Saturday, 9:00 am - 12:00 pm","Zinchenko, Elena",52.0,3,0.0,55.0,CLO,1051.0,55.0,CLO,0.0,55.0,CLO,0.0,55.0,CLO,0.0,55.0,CLO,10000.0
38115-85,38115,85,Ethics of Business,Winter,2025,"Saturday, 1:30 pm - 4:30 pm","Rollert, John",35.0,30,0.0,41.0,24,0.0,39.0,26,0.0,41.0,24,0.0,41.0,24,0.0,39.0,26,0.0
38119-01,38119,01,Designing a Good Life,Winter,2025,"Wednesday, 08:30 am - 11:30 am","Epley, Nicholas",65.0,CLO,8123.0,65.0,CLO,16192.0,65.0,CLO,0.0,65.0,CLO,0.0,65.0,CLO,0.0,65.0,CLO,0.0
38119-02,38119,02,Designing a Good Life,Winter,2025,"Wednesday, 05:00 pm - 08:00 pm","Epley, Nicholas",65.0,CLO,6120.0,65.0,CLO,9345.0,65.0,CLO,14000.0,65.0,CLO,0.0,65.0,CLO,0.0,65.0,CLO,0.0
38119-81,38119,81,Designing a Good Life,Winter,2025,"Tuesday, 6:00 pm - 9:00 pm","Epley, Nicholas",65.0,CLO,6000.0,65.0,CLO,10000.0,65.0,CLO,0.0,65.0,CLO,0.0,65.0,CLO,0.0,65.0,CLO,8000.0
38120-01,38120,01,The Study of Behavioral Economics,Winter,2025,"Monday, 01:30 pm - 04:30 pm","Pope, Devin",70.0,CLO,9148.0,70.0,CLO,16604.0,70.0,CLO,18000.0,70.0,CLO,0.0,70.0,CLO,0.0,70.0,CLO,13500.0
38120-02,38120,02,The Study of Behavioral Economics,Winter,2025,"Wednesday, 08:30 am - 11:30 am","Pope, Devin",70.0,CLO,8889.0,70.0,CLO,16100.0,70.0,CLO,19999.0,70.0,CLO,0.0,70.0,CLO,0.0,70.0,CLO,0.0
38120-81,38120,81,The Study of Behavioral Economics,Winter,2025,"Wednesday, 6:00 pm - 9:00 pm","Pope, Devin",70.0,CLO,5232.0,70.0,CLO,0.0,70.0,CLO,0.0,70.0,CLO,0.0,70.0,CLO,0.0,70.0,CLO,16359.0
38122-01,38122,01,Diversity in Organizations,Winter,2025,"Thursday, 08:30 am - 11:30 am","Risen, Jane",24.0,41,0.0,25.0,40,0.0,29.0,36,0.0,29.0,36,0.0,29.0,36,0.0,28.0,37,0.0
38122-02,38122,02,Diversity in Organizations,Winter,2025,"Thursday, 01:30 pm - 04:30 pm","Risen, Jane",12.0,53,0.0,13.0,52,0.0,13.0,52,0.0,13.0,52,0.0,13.0,52,0.0,16.0,49,0.0
38122-81,38122,81,Diversity in Organizations,Winter,2025,"Thursday, 6:00 pm - 9:00 pm","Risen, Jane",15.0,50,0.0,11.0,54,0.0,11.0,54,0.0,14.0,51,0.0,14.0,51,0.0,13.0,52,0.0
38601-60,38601,60,Workshop in Behavioral Science,Winter,2025,"Monday, 10:10 am - 11:30 am","Wu, George",8.0,22,0.0,8.0,22,0.0,,,,,,,,,,9.0,21,0.0
38901-50,38901,50,Current Topics in Behavioral Science I,Winter,2025,"Tuesday, 01:30 pm - 04:30 pm","Fishbach, Ayelet; Jackson, Joshua",9.0,11,0.0,9.0,11,0.0,,,,,,,,,,9.0,11,0.0
38922-50,38922,50,A Course In Experimental Economics,Winter,2025,"Thursday, 08:30 am - 11:20 am","List, John",1.0,29,0.0,1.0,29,0.0,,,,,,,,,,1.0,29,0.0
40000-01,40000,01,Operations Management: Business Process Fundamentals,Winter,2025,"Thursday, 08:30 am - 11:30 am","Xin, Linwei",61.0,4,0.0,65.0,CLO,0.0,65.0,CLO,1002.0,,,,,,,65.0,CLO,100.0
40000-02,40000,02,Operations Management: Business Process Fundamentals,Winter,2025,"Thursday, 01:30 pm - 04:30 pm","Xin, Linwei",55.0,10,0.0,65.0,CLO,1800.0,65.0,CLO,2500.0,,,,,,,65.0,CLO,1500.0
40000-85,40000,85,Operations Management: Business Process Fundamentals,Winter,2025,"Saturday, 1:30 pm - 4:30 pm","Xin, Linwei",11.0,54,0.0,13.0,52,0.0,17.0,48,0.0,19.0,46,0.0,20.0,45,0.0,26.0,39,0.0
40101-01,40101,01,Supply Chain Strategy and Practice,Winter,2025,"Tuesday, 08:30 am - 11:30 am","DeValve, Levi",65.0,CLO,1861.0,65.0,CLO,3712.0,65.0,CLO,5000.0,65.0,CLO,0.0,65.0,CLO,0.0,65.0,CLO,0.0
40101-02,40101,02,Supply Chain Strategy and Practice,Winter,2025,"Wednesday, 08:30 am - 11:30 am","DeValve, Levi",61.0,4,0.0,70.0,CLO,3801.0,70.0,CLO,2405.0,70.0,CLO,0.0,70.0,CLO,0.0,70.0,CLO,2397.0
40101-81,40101,81,Supply Chain Strategy and Practice,Winter,2025,"Tuesday, 6:00 pm - 9:00 pm","DeValve, Levi",58.0,7,0.0,65.0,CLO,16.0,65.0,CLO,0.0,65.0,CLO,0.0,65.0,CLO,0.0,65.0,CLO,3000.0
40110-01,40110,01,Managing Service Operations,Winter,2025,"Thursday, 01:30 pm - 04:30 pm","Ward, Amy",45.0,CLO,1999.0,45.0,CLO,4870.0,45.0,CLO,2344.0,45.0,CLO,0.0,45.0,CLO,0.0,45.0,CLO,2000.0
40110-81,40110,81,Managing Service Operations,Winter,2025,"Thursday, 6:00 pm - 9:00 pm","Ward, Amy",17.0,28,0.0,21.0,24,0.0,45.0,CLO,10.0,45.0,CLO,0.0,45.0,CLO,0.0,45.0,CLO,100.0
40206-01,40206,01,Healthcare Business Analytics,Winter,2025,"Thursday, 02:00 pm - 05:00 pm","Adelman, Dan",29.0,1,0.0,30.0,CLO,200.0,28.0,2,0.0,33.0,2,0.0,33.0,2,0.0,33.0,2,0.0
40206-81,40206,81,Healthcare Business Analytics,Winter,2025,"Thursday, 6:00 pm - 9:00 pm","Adelman, Dan",7.0,23,0.0,5.0,25,0.0,10.0,20,0.0,17.0,18,0.0,17.0,18,0.0,17.0,18,0.0
41000-01,41000,01,Business Statistics,Winter,2025,"Tuesday, 01:30 pm - 04:30 pm","Deb, Nabarun",65.0,CLO,118.0,65.0,CLO,567.0,64.0,1,0.0,,,,,,,65.0,CLO,2.0
41000-02,41000,02,Business Statistics,Winter,2025,"Thursday, 08:30 am - 11:30 am","Liang, Tengyuan",53.0,12,0.0,54.0,11,0.0,53.0,12,0.0,,,,,,,54.0,11,0.0
41000-03,41000,03,Business Statistics,Winter,2025,"Monday, 01:30 pm - 04:30 pm","Kankanala, Sid",46.0,19,0.0,53.0,12,0.0,57.0,8,0.0,,,,,,,57.0,8,0.0
41000-81,41000,81,Business Statistics,Winter,2025,"Tuesday, 6:00 pm - 9:00 pm","Kankanala, Sid",38.0,27,0.0,43.0,22,0.0,,,,57.0,8,0.0,54.0,11,0.0,57.0,8,0.0
41000-85,41000,85,Business Statistics,Winter,2025,"Saturday, 1:30 pm - 4:30 pm","Deb, Nabarun",15.0,50,0.0,15.0,50,0.0,,,,30.0,35,0.0,28.0,37,0.0,28.0,37,0.0
41100-01,41100,01,Applied Regression Analysis,Winter,2025,"Wednesday, 08:30 am - 11:30 am","Smetanina, Ekaterina (Katja)",33.0,32,0.0,34.0,31,0.0,33.0,32,0.0,33.0,32,0.0,33.0,32,0.0,33.0,32,0.0
41100-81,41100,81,Applied Regression Analysis,Winter,2025,"Monday, 6:00 pm - 9:00 pm","Smetanina, Ekaterina (Katja)",11.0,54,0.0,8.0,57,0.0,,,,14.0,51,0.0,14.0,51,0.0,17.0,48,0.0
41201-01,41201,01,Big Data,Winter,2025,"Tuesday, 01:30 pm - 04:30 pm","Rockova, Veronika",23.0,42,0.0,25.0,40,0.0,24.0,41,0.0,24.0,41,0.0,24.0,41,0.0,20.0,45,0.0
41201-02,41201,02,Big Data,Winter,2025,"Tuesday, 05:00 pm - 08:00 pm","Rockova, Veronika",7.0,58,0.0,7.0,58,0.0,7.0,58,0.0,7.0,58,0.0,7.0,58,0.0,8.0,57,0.0
41201-85,41201,85,Big Data,Winter,2025,"Saturday, 1:30 pm - 4:30 pm","Rockova, Veronika",9.0,56,0.0,12.0,53,0.0,12.0,53,0.0,14.0,51,0.0,13.0,52,0.0,14.0,51,0.0
41203-81,41203,81,Financial Econometrics,Winter,2025,"Wednesday, 6:00 pm - 9:00 pm","Russell, Jeffrey",21.0,44,0.0,31.0,34,0.0,31.0,34,0.0,32.0,33,0.0,32.0,33,0.0,29.0,36,0.0
41207-01,41207,01,Causal Inference for Business Applications,Winter,2025,"Wednesday, 05:00 pm - 08:00 pm","Toulis (Panos), Panagiotis",21.0,44,0.0,22.0,43,0.0,20.0,45,0.0,20.0,45,0.0,20.0,45,0.0,20.0,45,0.0
41600-60,41600,60,Econometrics and Statistics Colloquium,Winter,2025,"Thursday, 01:20 pm - 02:30 pm","Hansen, Christian",10.0,20,0.0,10.0,20,0.0,,,,,,,,,,10.0,20,0.0
41902-50,41902,50,Statistical Inference,Winter,2025,"Monday, 06:30 pm - 09:30 pm","Xiu, Dacheng",7.0,58,0.0,8.0,57,0.0,,,,7.0,58,0.0,7.0,58,0.0,8.0,57,0.0
41910-50,41910,50,Time-series Analysis for Forecasting and Model Building,Winter,2025,"Friday, 1:30 pm - 4:30 pm","Russell, Jeffrey",7.0,28,0.0,9.0,46,0.0,,,,9.0,46,0.0,9.0,46,0.0,57.0,8,0.0
41918-50,41918,50,"Data, Learning, and Algorithms",Winter,2025,"Monday, 01:30 pm - 04:30 pm","Liang, Tengyuan",4.0,18,0.0,4.0,18,0.0,,,,,,,,,,4.0,18,0.0
42001-01,42001,01,Competitive Strategy,Winter,2025,"Thursday, 08:30 am - 11:30 am","Humlum, Anders",61.0,4,0.0,65.0,CLO,1018.0,65.0,CLO,330.0,,,,,,,62.0,3,0.0
42001-02,42001,02,Competitive Strategy,Winter,2025,"Thursday, 01:30 pm - 04:30 pm","Humlum, Anders",65.0,CLO,1.0,65.0,CLO,1347.0,65.0,CLO,1.0,,,,,,,62.0,3,0.0
42001-03,42001,03,Competitive Strategy,Winter,2025,"Thursday, 01:30 pm - 04:30 pm","Almagro, Milena",9.0,56,0.0,10.0,55,0.0,,,,,,,,,,9.0,56,0.0
42001-81,42001,81,Competitive Strategy,Winter,2025,"Thursday, 6:00 pm - 9:00 pm","Almagro, Milena",17.0,48,0.0,19.0,46,0.0,28.0,37,0.0,33.0,32,0.0,33.0,32,0.0,28.0,37,0.0
42108-01,42108,01,Corporate Governance,Winter,2025,"Friday, 01:30 pm - 04:30 pm","Chookaszian, Dennis",53.0,12,0.0,65.0,CLO,201.0,62.0,3,0.0,62.0,3,0.0,62.0,3,0.0,65.0,CLO,5523.0
42108-81,42108,81,Corporate Governance,Winter,2025,"Friday, 6:00 pm - 9:00 pm","Chookaszian, Dennis",65.0,CLO,6001.0,65.0,CLO,12697.0,65.0,CLO,0.0,65.0,CLO,0.0,65.0,CLO,0.0,65.0,CLO,10000.0
42121-81,42121,81,Merger & Acquisition Strategy,Winter,2025,"Wednesday, 6:00 pm - 9:00 pm","Morrissette, Stephen",70.0,CLO,16000.0,70.0,CLO,18000.0,70.0,CLO,0.0,70.0,CLO,0.0,70.0,CLO,0.0,70.0,CLO,0.0
42129-81,42129,81,The Political Economy of Climate Change,Winter,2025,"Thursday, 6:00 pm - 9:00 pm","Wheat, Chris",22.0,43,0.0,17.0,48,0.0,20.0,45,0.0,20.0,45,0.0,20.0,45,0.0,21.0,44,0.0
42715-01,42715,01,Strategy Simulation: Creating Value in Complex and Ambiguous Settings,Winter,2025,"Wednesday, 08:30 am - 11:30 am","Fitzgerald, Kathleen",48.0,CLO,3976.0,48.0,CLO,11050.0,54.0,CLO,4891.0,54.0,CLO,0.0,54.0,CLO,0.0,54.0,CLO,8000.0
42715-85,42715,85,Strategy Simulation: Creating Value in Complex and Ambiguous Settings,Winter,2025,"Saturday, 9:00 am - 12:00 pm","Fitzgerald, Kathleen",34.0,14,0.0,47.0,1,0.0,48.0,CLO,5000.0,,,,,,,46.0,8,0.0
30000-01,30000,01,Financial Accounting,Autumn,2024,"Tuesday, 01:30 pm - 04:30 pm","Nikolaev, Valeri",2.0,63,0.0,1.0,64,0.0,,,,65.0,CLO,99.0,65.0,CLO,10.0,65.0,CLO,671.0
30000-02,30000,02,Financial Accounting,Autumn,2024,"Wednesday, 01:30 pm - 04:30 pm","Nikolaev, Valeri",1.0,64,0.0,1.0,64,0.0,,,,65.0,CLO,0.0,65.0,CLO,2.0,65.0,CLO,2997.0
30000-03,30000,03,Financial Accounting,Autumn,2024,"Thursday, 08:30 am - 11:30 am","Granja, Joao",2.0,63,0.0,3.0,62,0.0,,,,65.0,CLO,0.0,65.0,CLO,1200.0,64.0,1,0.0
30000-04,30000,04,Financial Accounting,Autumn,2024,"Friday, 08:30 am - 11:30 am","Granja, Joao",0.0,65,0.0,0.0,65,0.0,,,,53.0,12,0.0,40.0,25,0.0,31.0,34,0.0
30000-05,30000,05,Financial Accounting,Autumn,2024,"Friday, 01:30 pm - 04:30 pm","Granja, Joao",0.0,65,0.0,0.0,65,0.0,,,,15.0,50,0.0,29.0,36,0.0,30.0,35,0.0
30000-06,30000,06,Financial Accounting,Autumn,2024,"Monday, 05:00 pm - 08:00 pm","Riggs-Cragun, Amoray",0.0,65,0.0,0.0,65,0.0,,,,55.0,10,0.0,58.0,7,0.0,54.0,11,0.0
30000-07,30000,07,Financial Accounting,Autumn,2024,"Tuesday, 08:30 am - 11:30 am","Riggs-Cragun, Amoray",4.0,61,0.0,4.0,61,0.0,,,,65.0,CLO,2007.0,65.0,CLO,3007.0,65.0,CLO,4704.0
30000-81,30000,81,Financial Accounting,Autumn,2024,"Tuesday, 6:00 pm - 9:00 pm","Nikolaev, Valeri",6.0,59,0.0,6.0,59,0.0,,,,37.0,28,0.0,36.0,29,0.0,41.0,24,0.0
30000-85,30000,85,Financial Accounting,Autumn,2024,"Saturday, 9:00 am - 12:00 pm","Heltzer, Wendy",11.0,54,0.0,12.0,53,0.0,,,,41.0,24,0.0,42.0,23,0.0,41.0,24,0.0
30116-01,30116,01,Accounting and Financial Analysis,Autumn,2024,"Tuesday, 08:30 am - 11:30 am","Christensen, Hans",9.0,61,0.0,7.0,63,0.0,,,,70.0,CLO,500.0,70.0,CLO,2007.0,70.0,CLO,10.0
30116-02,30116,02,Accounting and Financial Analysis,Autumn,2024,"Wednesday, 08:30 am - 11:30 am","Christensen, Hans",,,,,,,,,,,,,,,,69.0,1,0.0
30116-03,30116,03,Accounting and Financial Analysis,Autumn,2024,"Wednesday, 01:30 pm - 04:30 pm","Christensen, Hans",,,,,,,,,,,,,,,,64.0,6,0.0
30118-01,30118,01,Taxes and Business Strategy,Autumn,2024,"Thursday, 01:30 pm - 04:30 pm","Erickson, Merle",34.0,31,0.0,32.0,33,0.0,,,,60.0,5,0.0,60.0,5,0.0,56.0,9,0.0
30118-85,30118,85,Taxes and Business Strategy,Autumn,2024,"Saturday, 9:00 am - 12:00 pm","Erickson, Merle",35.0,30,0.0,33.0,32,0.0,,,,33.0,32,0.0,33.0,32,0.0,44.0,21,0.0
30121-01,30121,01,Accounting for Entrepreneurship: From Start-Up through IPO,Autumn,2024,"Tuesday, 01:30 pm - 04:30 pm","Weiss, Ira",33.0,32,0.0,36.0,29,0.0,,,,65.0,CLO,500.0,62.0,3,0.0,61.0,4,0.0
30121-02,30121,02,Accounting for Entrepreneurship: From Start-Up through IPO,Autumn,2024,"Wednesday, 08:30 am - 11:30 am","Weiss, Ira",42.0,23,0.0,49.0,16,0.0,,,,64.0,1,0.0,65.0,CLO,1729.0,64.0,1,0.0
30121-81,30121,81,Accounting for Entrepreneurship: From Start-Up through IPO,Autumn,2024,"Tuesday, 6:00 pm - 9:00 pm","Weiss, Ira",35.0,30,0.0,34.0,31,0.0,,,,36.0,29,0.0,36.0,29,0.0,40.0,25,0.0
30121-85,30121,85,Accounting for Entrepreneurship: From Start-Up through IPO,Autumn,2024,"Saturday, 1:30 pm - 4:30 pm","Weiss, Ira",25.0,40,0.0,23.0,42,0.0,,,,24.0,41,0.0,25.0,40,0.0,30.0,35,0.0
30130-01,30130,01,Financial Statement Analysis,Autumn,2024,"Wednesday, 1:30 pm - 4:30 pm","Minnis, Michael",70.0,CLO,3000.0,70.0,CLO,7500.0,,,,70.0,CLO,0.0,70.0,CLO,0.0,70.0,CLO,6459.0
30130-81,30130,81,Financial Statement Analysis,Autumn,2024,"Wednesday, 6:00 pm - 9:00 pm","Minnis, Michael",35.0,30,0.0,36.0,29,0.0,,,,42.0,23,0.0,41.0,24,0.0,70.0,CLO,1257.0
30133-01,30133,01,Navigating the ESG Landscape: Sustainability Information and Analysis,Autumn,2024,"Tuesday, 01:30 pm - 04:30 pm","Leuz, Christian",39.0,26,0.0,45.0,20,0.0,,,,65.0,CLO,2024.0,65.0,CLO,1.0,65.0,CLO,632.0
30133-02,30133,02,Navigating the ESG Landscape: Sustainability Information and Analysis,Autumn,2024,"Tuesday, 05:00 pm - 08:00 pm","Leuz, Christian",19.0,46,0.0,18.0,47,0.0,,,,48.0,17,0.0,46.0,19,0.0,42.0,23,0.0
30600-60,30600,60,Workshop in Accounting Research,Autumn,2024,"Thursday, 01:20 pm - 02:50 pm","McClure, Charles; Riggs-Cragun, Amoray",6.0,24,0.0,6.0,24,0.0,,,,6.0,24,0.0,6.0,24,0.0,9.0,21,0.0
30900-50,30900,50,Foundations of Accounting Research,Autumn,2024,"Tuesday, 08:30 am - 11:30 am","Costello, Anna; Minnis, Michael; Skinner, Douglas",0.0,20,0.0,0.0,20,0.0,,,,4.0,16,0.0,4.0,16,0.0,4.0,16,0.0
30930-50,30930,50,Research Seminar in Accounting,Autumn,2024,"Thursday, 10:00 am - 11:30 am","Samuels, Delphine; Stewart, Christopher; Tomy, Rimmy",4.0,16,0.0,5.0,15,0.0,,,,5.0,15,0.0,5.0,15,0.0,6.0,14,0.0
31402-01,31402,01,Leadership Practicum,Autumn,2024,"Wednesday, 08:30 am - 11:30 am","Collins, Chris",15.0,25,0.0,17.0,23,0.0,,,,24.0,16,0.0,30.0,10,0.0,31.0,9,0.0
31403-85,31403,85,Leadership Studio,Autumn,2024,"Saturday, 9:00 am - 12:00 pm","Davis, Harry; Tennant, Nancy",29.0,1,0.0,28.0,2,0.0,,,,30.0,CLO,10.0,29.0,1,0.0,30.0,CLO,6988.0
31404-01,31404,01,Leadership Lab,Autumn,2024,"Wednesday, 01:30 pm - 04:30 pm","Collins, Chris",1.0,29,0.0,,,,,,,,,,,,,,,
31425-81,31425,81,Real Estate and Equity: Leveling the Playing Field,Autumn,2024,"Tuesday, 6:00 pm - 9:00 pm","Valery, Ernst",16.0,49,0.0,13.0,52,0.0,,,,17.0,48,0.0,18.0,47,0.0,17.0,48,0.0
32100-01,32100,01,Data Analysis with R and Python,Autumn,2024,"Wednesday, 05:00 pm - 08:00 pm","Kattan, Lara",17.0,18,0.0,19.0,16,0.0,,,,31.0,4,0.0,34.0,1,0.0,26.0,9,0.0
32100-81,32100,81,Data Analysis with R and Python,Autumn,2024,"Thursday, 6:00 pm - 9:00 pm","Kattan, Lara",16.0,19,0.0,18.0,17,0.0,,,,18.0,17,0.0,18.0,17,0.0,23.0,12,0.0
33001-01,33001,01,Microeconomics,Autumn,2024,"Monday, 08:30 am - 11:30 am","Frankel, Alexander",5.0,60,0.0,5.0,60,0.0,,,,65.0,CLO,302.0,65.0,CLO,2000.0,65.0,CLO,5.0
33001-02,33001,02,Microeconomics,Autumn,2024,"Monday, 01:30 pm - 04:30 pm","Frankel, Alexander",1.0,64,0.0,2.0,63,0.0,,,,65.0,CLO,500.0,65.0,CLO,1555.0,65.0,CLO,2300.0
33001-03,33001,03,Microeconomics,Autumn,2024,"Thursday, 08:30 am - 11:30 am","Rappoport, Daniel",0.0,65,0.0,0.0,65,0.0,,,,65.0,CLO,0.0,65.0,CLO,0.0,63.0,2,0.0
33001-04,33001,04,Microeconomics,Autumn,2024,"Thursday, 01:30 pm - 04:30 pm","Rappoport, Daniel",4.0,61,0.0,4.0,61,0.0,,,,42.0,23,0.0,65.0,CLO,0.0,61.0,4,0.0
33001-05,33001,05,Microeconomics,Autumn,2024,"Tuesday, 01:30 pm - 04:30 pm","Gibbs, Michael",15.0,50,0.0,15.0,50,0.0,,,,65.0,CLO,2400.0,65.0,CLO,4500.0,65.0,CLO,2812.0
33001-06,33001,06,Microeconomics,Autumn,2024,"Wednesday, 01:30 pm - 04:30 pm","Gibbs, Michael",11.0,54,0.0,13.0,52,0.0,,,,65.0,CLO,2317.0,65.0,CLO,3003.0,65.0,CLO,2363.0
33001-07,33001,07,Microeconomics,Autumn,2024,"Tuesday, 08:30 am - 11:30 am","McClellan, Andrew",1.0,64,0.0,1.0,64,0.0,,,,45.0,20,0.0,65.0,CLO,2525.0,64.0,1,0.0
33001-81,33001,81,Microeconomics,Autumn,2024,"Monday, 6:00 pm - 9:00 pm","Frankel, Alexander",11.0,54,0.0,10.0,55,0.0,,,,39.0,26,0.0,37.0,28,0.0,42.0,23,0.0
33001-85,33001,85,Microeconomics,Autumn,2024,"Saturday, 1:30 pm - 4:30 pm","Rappoport, Daniel",9.0,56,0.0,7.0,58,0.0,,,,23.0,42,0.0,20.0,45,0.0,20.0,45,0.0
33002-01,33002,01,Accelerated Microeconomics,Autumn,2024,"Monday, 08:30 am - 11:30 am","Mountjoy, Jack",1.0,64,0.0,1.0,64,0.0,,,,32.0,33,0.0,39.0,26,0.0,36.0,29,0.0
33002-02,33002,02,Accelerated Microeconomics,Autumn,2024,"Monday, 01:30 pm - 04:30 pm","Mountjoy, Jack",2.0,63,0.0,3.0,62,0.0,,,,48.0,17,0.0,59.0,6,0.0,61.0,4,0.0
33002-81,33002,81,Accelerated Microeconomics,Autumn,2024,"Monday, 6:00 pm - 9:00 pm","Mountjoy, Jack",4.0,61,0.0,3.0,62,0.0,,,,15.0,50,0.0,15.0,50,0.0,18.0,47,0.0
33032-81,33032,81,Managing the Workplace,Autumn,2024,"Tuesday, 6:00 pm - 9:00 pm","Kole, Stacey",23.0,42,0.0,25.0,40,0.0,,,,28.0,37,0.0,29.0,36,0.0,41.0,24,0.0
33050-01,33050,01,Macroeconomics and the Business Environment,Autumn,2024,"Tuesday, 08:30 am - 11:30 am","Hurst, Erik",49.0,16,0.0,48.0,17,0.0,,,,65.0,CLO,89.0,65.0,CLO,200.0,65.0,CLO,3000.0
33050-02,33050,02,Macroeconomics and the Business Environment,Autumn,2024,"Tuesday, 01:30 pm - 04:30 pm","Hurst, Erik",50.0,15,0.0,52.0,13,0.0,,,,65.0,CLO,1000.0,65.0,CLO,2051.0,65.0,CLO,1.0
33230-01,33230,01,The Economics of Companies,Autumn,2024,"Tuesday, 08:30 am - 11:30 am","Syverson, Chad",13.0,52,0.0,13.0,52,0.0,,,,16.0,49,0.0,19.0,46,0.0,17.0,48,0.0
33230-81,33230,81,The Economics of Companies,Autumn,2024,"Tuesday, 6:00 pm - 9:00 pm","Syverson, Chad",13.0,52,0.0,13.0,52,0.0,,,,13.0,52,0.0,13.0,52,0.0,9.0,56,0.0
33351-81,33351,81,The Business of Pharmaceuticals,Autumn,2024,"Thursday, 6:00 pm - 9:00 pm","Qato, Ream",44.0,21,0.0,42.0,23,0.0,,,,58.0,7,0.0,56.0,9,0.0,55.0,10,0.0
33520-85,33520,85,The Wealth of Nations,Autumn,2024,"Saturday, 1:30 pm - 4:30 pm","Hsieh, Chang-Tai",35.0,30,0.0,36.0,29,0.0,,,,41.0,24,0.0,41.0,24,0.0,65.0,CLO,100.0
